1.1475689604,0.0024463286,-0.1567026742
1.1640815724,0.0123548686,-0.1587737840
1.1813883734,0.0222986504,-0.1636246904
1.1994585277,0.0322573741,-0.1712624233
1.2182594357,0.0422105849,-0.1816883058
1.2377567898,0.0521377139,-0.1948979168
1.2579146354,0.0620181199,-0.2108810648
1.2786954346,0.0718311317,-0.2296217737
1.3000601341,0.0815560905,-0.2510982801
1.3219682365,0.0911723925,-0.2752830428
1.3443778747,0.1006595319,-0.3021427643
1.3672458905,0.1099971435,-0.3316384242
1.3905279152,0.1191650461,-0.3637253245
1.4141784539,0.1281432848,-0.3983531472
1.4381509726,0.1369121737,-0.4354660236
1.4623979875,0.1454523382,-0.4750026157
1.4868711576,0.1537447569,-0.5168962088
1.5115213789,0.1617708029,-0.5610748168
1.5362988811,0.1695122849,-0.6074612977
1.5611533261,0.1769514869,-0.6559734819
1.5860339086,0.1840712082,-0.7065243104
1.6108894578,0.1908548017,-0.7590219847
1.6356685411,0.1972862120,-0.8133701270
1.6603195682,0.2033500116,-0.8694679510
1.6847908969,0.2090314371,-0.9272104431
1.7090309389,0.2143164234,-0.9864885525
1.7329882674,0.2191916371,-1.0471893923
1.7566117230,0.2236445087,-1.1091964482
1.7798505221,0.2276632627,-1.1723897970
1.8026543631,0.2312369473,-1.2366463329
1.8249735335,0.2343554619,-1.3018400022
1.8467590162,0.2370095829,-1.3678420454
1.8679625946,0.2391909883,-1.4345212457
1.8885369570,0.2408922804,-1.5017441853
1.9084358001,0.2421070068,-1.5693755069
1.9276139304,0.2428296793,-1.6372781810
1.9460273642,0.2430557912,-1.7053137785
1.9636334260,0.2427818328,-1.7733427477
1.9803908445,0.2420053045,-1.8412246952
1.9962598462,0.2407247283,-1.9088186705
2.0112022468,0.2389396570,-1.9759834536
2.0251815397,0.2366506816,-2.0425778441
2.0381629814,0.2338594362,-2.1084609535
2.0501136744,0.2305686014,-2.1734924968
2.0610026459,0.2267819048,-2.2375330866
2.0708009240,0.2225041197,-2.3004445253
2.0794816092,0.2177410622,-2.3620900983
2.0870199430,0.2124995850,-2.4223348645
2.0933933720,0.2067875700,-2.4810459459
2.0985816079,0.2006139178,-2.5380928144
2.1025666833,0.1939885366,-2.5933475754
2.1053330028,0.1869223267,-2.6466852478
2.1068673901,0.1794271650,-2.6979840399
2.1071591295,0.1715158862,-2.7471256197
2.1062000037,0.1632022621,-2.7939953811
2.1039843255,0.1545009789,-2.8384827022
2.1005089652,0.1454276127,-2.8804811988
2.0957733732,0.1359986027,-2.9198889693
2.0897795960,0.1262312227,-2.9566088326
2.0825322890,0.1161435503,-2.9905485576
2.0740387219,0.1057544347,-3.0216210838
2.0643087803,0.0950834626,-3.0497447323
2.0533549612,0.0841509223,-3.0748434077
2.0411923633,0.0729777661,-3.0968467893
