9.2257741725,13.3812621167,21.5347662204
9.6429217598,13.8224944718,22.2350729168
10.0599744786,14.2122251190,23.0134847653
10.4713912641,14.5369464449,23.8650709407
10.8708550100,14.7828755548,24.7819842479
11.2513509490,14.9366149326,25.7531762185
11.6053076176,14.9859566289,26.7642778483
11.9248062623,14.9207872241,27.7977084977
12.2018585398,14.7340223543,28.8330640470
12.4287443102,14.4224738519,29.8478105466
12.5983919941,13.9875364568,30.8182718604
12.7047747412,13.4355815563,31.7208534632
12.7432883811,12.7779673193,32.5333978510
12.7110736869,12.0306180956,33.2365307576
12.6072473461,11.2131852738,33.8148420729
12.4330136924,10.3478656042,34.2577577967
12.1916418890,9.4580071064,34.5599995342
11.8883088427,8.5666643272,34.7215884307
11.5298238292,7.6952666012,34.7474177605
11.1242637488,6.8625357430,34.6464777084
10.6805559508,6.0837412739,34.4308551684
10.2080476889,5.3703243174,34.1146448296
9.7160978865,4.7298684174,33.7128967062
9.2137193900,4.1663562006,33.2406963755
8.7092902152,3.6806293716,32.7124368703
8.2103423533,3.2709653884,32.1413042623
7.7234280008,2.9336932886,31.5389688118
7.2540564885,2.6637880669,30.9154531850
6.8066910028,2.4554025851,30.2791388543
6.3847922367,2.3023143680,29.6368696624
5.9908959287,2.1982795708,28.9941151059
5.6267123054,2.1372970735,28.3551626092
5.2932372173,2.1137922586,27.7233158415
4.9908668139,2.1227332940,27.1010835735
4.7195096609,2.1596935767,26.4903498684
4.4786920555,2.2208732763,25.8925212739
4.2676538571,2.3030913392,25.3086501228
4.0854333990,2.4037573890,24.7395352726
3.9309409819,2.5208310110,24.1858028677
3.8030211275,2.6527741237,23.6479702666
3.7005042129,2.7985006048,23.1264963678
3.6222483880,2.9573260745,22.6218213742
3.5671728117,3.1289197305,22.1343986952
3.5342832885,3.3132593413,21.6647212877
3.5226913582,3.5105899038,21.2133443390
3.5316278147,3.7213860076,20.7809058307
3.5604515248,3.9463176013,20.3681462026
3.6086542925,4.1862185807,19.9759280685
3.6758623760,4.4420574014,19.6052567085
3.7618351223,4.7149087318,19.2573018660
3.8664610390,5.0059249902,18.9334212022
3.9897514723,5.3163064491,18.6351855843
4.1318319137,5.6472684162,18.3644061914
4.2929308019,6.0000038291,18.1231631895
4.4733655358,6.3756394176,17.9138354380
4.6735252539,6.7751834100,17.7391303112
4.8938497799,7.1994626028,17.6021122249
5.1348039759,7.6490465112,17.5062278258
5.3968466008,8.1241563117,17.4553249884
5.6803926440,8.6245564588,17.4536617667
5.9857680206,9.1494272890,17.5059002392
6.3131554953,9.6972177539,17.6170787964
6.6625307907,10.2654788028,17.7925549042
7.0335880792,10.8506800480,18.0379088673
7.4256545249,11.4480153867,18.3587978403
7.8375943022,12.0512073799,18.7607486514
8.2677036601,12.6523254799,19.2488784296
8.7136001821,13.2416395324,19.8275342414
9.1721114712,13.8075369422,20.4998477700
9.6391710214,14.3365385881,21.2672093301
10.1097318980,14.8134535253,22.1286778586
10.5777117444,15.2217135993,23.0803600529
11.0359850562,15.5439236716,24.1148116400
11.4764399232,15.7626485041,25.2205344739
11.8901156418,15.8614315118,26.3816605655
12.2674338747,15.8260035252,27.5779223546
12.5985287048,15.6455946380,28.7850008693
12.8736698989,15.3142164850,29.9753142812
13.0837597791,14.8317470948,31.1192568752
13.2208691902,14.2046387918,32.1868270502
13.2787650515,13.4460922920,33.1495047214
13.2533742304,12.5756009736,33.9821716794
13.1431288592,11.6178613286,34.6648329758
12.9491481381,10.6011506531,35.1839078373
12.6752302511,9.5553659928,35.5329179152
12.3276521060,8.5099751288,35.7124973105
11.9147993976,7.4921363932,35.7297596311
11.4466699940,6.5251995631,35.5971551920
10.9343060499,5.6277193962,35.3310144294
10.3892129577,4.8130192950,34.9499916140
9.8228170415,4.0892579203,34.4735993675
9.2460013668,3.4598923250,33.9209726518
8.6687435761,2.9244034186,33.3099380109
8.0998644537,2.4791503538,32.6564051840
7.5468832915,2.1182412718,31.9740535929
7.0159672371,1.8343386639,31.2742592832
6.5119568184,1.6193497969,30.5661973859
6.0384482132,1.4649804647,29.8570570298
5.5979136740,1.3631510837,29.1523150226
5.1918438971,1.3062874856,28.4560272778
4.8208992227,1.2875057294,27.7711097900
4.4850597807,1.3007125046,27.0995921353
4.1837676665,1.3406418768,26.4428352050
