-1.9559866313,-2.8025290856
-1.9529437551,-2.8015730990
-1.9498886154,-2.8006201552
-1.9468209090,-2.7996702666
-1.9437403222,-2.7987234457
-1.9406465297,-2.7977797054
-1.9375391947,-2.7968390589
-1.9344179679,-2.7959015197
-1.9312824869,-2.7949671017
-1.9281323759,-2.7940358192
-1.9249672443,-2.7931076868
-1.9217866868,-2.7921827196
-1.9185902817,-2.7912609329
-1.9153775908,-2.7903423426
-1.9121481578,-2.7894269650
-1.9089015078,-2.7885148169
-1.9056371461,-2.7876059154
-1.9023545570,-2.7867002782
-1.8990532024,-2.7857979237
-1.8957325208,-2.7848988705
-1.8923919259,-2.7840031379
-1.8890308046,-2.7831107460
-1.8856485159,-2.7822217152
-1.8822443887,-2.7813360667
-1.8788177202,-2.7804538223
-1.8753677736,-2.7795750046
-1.8718937760,-2.7786996368
-1.8683949158,-2.7778277430
-1.8648703402,-2.7769593481
-1.8613191521,-2.7760944778
-1.8577404073,-2.7752331586
-1.8541331107,-2.7743754182
-1.8504962128,-2.7735212851
-1.8468286054,-2.7726707889
-1.8431291175,-2.7718239603
-1.8393965100,-2.7709808312
-1.8356294703,-2.7701414347
-1.8318266067,-2.7693058052
-1.8279864414,-2.7684739786
-1.8241074036,-2.7676459921
-1.8201878211,-2.7668218847
-1.8162259118,-2.7660016969
-1.8122197735,-2.7651854710
-1.8081673730,-2.7643732512
-1.8040665337,-2.7635650839
-1.7999149218,-2.7627610173
-1.7957100308,-2.7619611024
-1.7914491643,-2.7611653924
-1.7871294161,-2.7603739432
-1.7827476482,-2.7595868138
-1.7783004655,-2.7588040661
-1.7737841873,-2.7580257657
-1.7691948147,-2.7572519815
-1.7645279927,-2.7564827867
-1.7597789681,-2.7557182587
-1.7549425395,-2.7549584797
-1.7500130001,-2.7542035372
-1.7449840713,-2.7534535242
-1.7398488253,-2.7527085401
-1.7345995939,-2.7519686913
-1.7292278622,-2.7512340917
-1.7237241416,-2.7505048638
-1.7180778202,-2.7497811397
-1.7122769830,-2.7490630619
-1.7063081963,-2.7483507849
-1.7001562473,-2.7476444767
-1.6938038260,-2.7469443204
-1.6872311370,-2.7462505166
-1.6804154189,-2.7455632855
-1.6733303469,-2.7448828701
-1.6659452831,-2.7442095397
-1.6582243258,-2.7435435944
-1.6501250954,-2.7428853701
-1.6415971620,-2.7422352450
-1.6325799902,-2.7415936478
-1.6230002151,-2.7409610678
-1.6127679816,-2.7403380676
-1.6017719504,-2.7397252997
-1.5898723653,-2.7391235277
-1.5768912480,-2.7385336553
-1.5625982301,-2.7379567641
-1.5466895877,-2.7373941659
-1.5287563607,-2.7368474763
-1.5082343386,-2.7363187199
-1.4843227100,-2.7358104856
-1.4558460129,-2.7353261629
-1.4210077528,-2.7348703168
-1.3769230448,-2.7344493091
-1.3186629109,-2.7340723861
-1.2371056819,-2.7337537231
-1.1134760465,-2.7335166175
-0.9030196591,-2.7334031414
-0.4750030694,-2.7335001218
0.6117239438,-2.7340251187
0.2495155242,-2.7356368426
1.1240658024,-2.7368863582
-0.9255514087,-2.7390104240
-0.5307266141,-2.7390848725
0.4598646514,-2.7395541459
0.6447487212,-2.7410140106
0.1550779260,-2.7426587593
1.2610552690,-2.7438138372
-1.1609613898,-2.7460748925
-0.9997825097,-2.7459139311
-0.6954680275,-2.7459141486
0.0174928320,-2.7462186806
1.3525271066,-2.7472361734
-1.2981296298,-2.7495887005
-1.2226667590,-2.7492905709
-1.1059473558,-2.7490679041
-0.9048126129,-2.7489619568
-0.4945869268,-2.7490571442
0.5451309816,-2.7495625572
0.4111696479,-2.7511076882
0.7559820410,-2.7525188579
-0.1435612249,-2.7542748399
1.2629312446,-2.7551312787
-1.1751669701,-2.7573942099
-1.0354412384,-2.7572190429
-0.7785868788,-2.7571836017
-0.2045710313,-2.7574050148
1.1779049892,-2.7582004438
-1.0408943030,-2.7603783488
-0.7924988931,-2.7603374545
-0.2419942350,-2.7605449556
1.1126368332,-2.7613029614
-0.9292779581,-2.7634155982
-0.5633225244,-2.7634863202
0.3488643785,-2.7639229977
0.8912225610,-2.7652718621
-0.4802297490,-2.7671630846
0.5644892219,-2.7676828549
0.3415621795,-2.7692473441
0.9024008396,-2.7705889063
-0.5107981530,-2.7724913071
0.4791162974,-2.7729805090
0.5615662024,-2.7744596253
0.3425658271,-2.7760211915
0.8933707282,-2.7773637573
-0.4971933943,-2.7792571280
0.5081032157,-2.7797599346
0.4789441012,-2.7812680379
0.5537261441,-2.7827469820
0.3551378556,-2.7843007081
0.8565097335,-2.7856558460
-0.4206472535,-2.7875123557
0.6960855131,-2.7880917084
-0.0262842165,-2.7897877940
1.3073816354,-2.7907615097
-1.2774257406,-2.7930688914
-1.2352095328,-2.7927914656
-1.1695064895,-2.7925562561
-1.0609511815,-2.7923867496
-0.8635354043,-2.7923257984
-0.4436888540,-2.7924622630
0.6331687114,-2.7930185742
0.1336659434,-2.7946517429
1.2333810689,-2.7957854088
-1.1695942830,-2.7980187899
-1.0665638869,-2.7978491956
-0.8797730576,-2.7977826317
-0.4866222386,-2.7979028587
0.5171003849,-2.7984162364
0.4365713489,-2.7999333368
0.6437243090,-2.8013699082
0.0974247170,-2.8030136325
1.2584368041,-2.8041110572
-1.2172169079,-2.8063694940
-1.1542209156,-2.8061522771
